label,VV_mean.3,Inc_mean.3,NDVI_median.3
142,0.0633,32.5865999999999,31.4463
691,0.0883,32.5865999999999,44.3397
1438,0.1128,32.5865999999999,50.3558
725,0.0565,32.5865999999999,27.3196
336,0.0735,32.5865999999999,35.9339
1858,0.0636,32.5865999999999,28.9012999999999
3319,0.0875,32.5865999999999,43.257199999999905
5400,0.0779,32.5865999999999,35.8322999999999
4973,0.0928,32.5865999999999,45.1584
3668,0.0792,32.5865999999999,37.7952
4778,0.0686,32.5865999999999,33.5101
3683,0.09,32.5865999999999,40.682299999999906
5062,0.0637,32.5865999999999,24.8402999999999
7418,0.0862,32.5865999999999,44.3894
2980,0.0532,32.5865999999999,24.8875999999999
7006,0.0798,32.5865999999999,31.0348
6359,0.0601,32.5865999999999,31.5184
6118,0.0953,32.5865999999999,43.3712
7274,0.0914,32.5865999999999,44.008899999999905
9219,0.0709,32.5865999999999,36.8543
6836,0.0852,32.5865999999999,33.1390999999999
6877,0.1128,32.5865999999999,49.0013999999999
6985,0.0675,32.5865999999999,27.4410999999999
6094,0.0788,32.5865999999999,31.4457999999999
5603,0.0682,32.5865999999999,36.7543
8268,0.0855,32.5865999999999,40.025599999999905
8766,0.0932,32.5865999999999,40.715699999999906
8996,0.059,32.5865999999999,26.6116999999999
7563,0.0754,32.5865999999999,26.5421
9052,0.074,32.5865999999999,34.6235
8927,0.0632,32.5865999999999,33.0771999999999
8713,0.0755,32.5865999999999,31.3895
9961,0.061,32.5865999999999,31.0951999999999
10023,0.0826,32.5865999999999,35.1099
11142,0.0658,32.5865999999999,31.663
8940,0.0595,32.5865999999999,29.3575
9315,0.0722,32.5865999999999,31.6614
9287,0.0642,32.5865999999999,29.7308999999999
9733,0.0729,32.5865999999999,26.9121999999999
11215,0.0816,32.5865999999999,32.7425
11651,0.1367,32.5865999999999,41.417499999999905
12264,0.0791,32.5865999999999,41.53549999999991
11359,0.0657,32.5865999999999,32.0099999999999
12657,0.0671,32.5865999999999,30.422
8972,0.0708,32.5865999999999,32.9024
11578,0.057,32.5865999999999,27.0197
11056,0.0716,32.5865999999999,25.4898999999999
13435,0.0591,32.5865999999999,27.1152
11970,0.0692,32.5865999999999,27.4571
12463,0.0647,32.5865999999999,29.9990999999999
15598,0.0683,32.5865999999999,27.1659
13984,0.0668,32.5865999999999,25.2757
14600,0.0829,32.5865999999999,27.1055999999999
14398,0.068,32.5865999999999,29.2566999999999
14510,0.0763,32.5865999999999,36.5505
13956,0.0654,32.5865999999999,30.8266999999999
13470,0.0625,32.5865999999999,25.4419
16123,0.083,32.5865999999999,33.7747999999999
14364,0.057,32.5865999999999,26.0133
15258,0.0618,32.5865999999999,24.9492
18653,0.0721,32.5865999999999,31.8130999999999
17449,0.0722,32.5865999999999,27.3837
16930,0.0653,32.5865999999999,25.2026
18446,0.0649,32.5865999999999,27.6738
18042,0.0721,32.5865999999999,25.1765
16346,0.0751,32.5865999999999,24.5712
18179,0.0613,32.5865999999999,27.6785999999999
16140,0.0686,32.5865999999999,27.0936999999999
19191,0.0977,32.5865999999999,31.0127999999999
20268,0.0769,32.5865999999999,22.9011999999999
19586,0.0594,32.5865999999999,25.242
19694,0.0734,32.5865999999999,30.4225999999999
20669,0.0786,32.5865999999999,27.483
20534,0.0567,32.5865999999999,25.6429
18269,0.071,32.5865999999999,28.7200999999999
18780,0.0687,32.5865999999999,23.3892999999999
22162,0.0736,32.5865999999999,25.7275999999999
22571,0.0773,32.5865999999999,36.1965
22552,0.0684,32.5865999999999,26.7969
19560,0.0761,32.5865999999999,30.375
19790,0.0776,32.5865999999999,26.9116
23715,0.1174,32.5865999999999,47.2226
23346,0.0741,32.5865999999999,25.8453
24074,0.0841,32.5865999999999,35.9587999999999
24244,0.0694,32.5865999999999,23.8682
26307,0.0662,32.5865999999999,24.9238
25012,0.0765,32.5865999999999,28.273
27465,0.0752,32.5865999999999,28.9988999999999
28571,0.0889,32.5865999999999,28.3306
